Years_x,Time,Temperature,Humidity,Ground radiation intensity,Radiation intensity in the upper atmosphere,Photovoltaic power generation,Years_y,Air density,Wind Speed,Power generation,wind speed,Wind speed
01-06-2019 00:00,00:00.0,6.224,0.007,0,0,0,01-06-2019 00:00,1.164,5.005,1042.746,7.685,5.884
01-09-2019 00:00,00:00.0,11.281,0.009,0,0,0,01-06-2019 00:00,1.164,5.005,1042.746,7.685,5.884
01-12-2019 00:00,00:00.0,-10.687,0.001,0,0,0,01-06-2019 00:00,1.164,5.005,1042.746,7.685,5.884
01-03-2019 00:00,00:00.0,-8.083,0.002,0,0,0,01-06-2019 00:00,1.164,5.005,1042.746,7.685,5.884
01-12-2019 01:00,00:00.0,-10.623,0.001,0,0,0,01-06-2019 01:00,1.16,5.005,1013.124,7.685,5.827
01-09-2019 01:00,00:00.0,10.447,0.009,0,0,0,01-06-2019 01:00,1.16,5.005,1013.124,7.685,5.827
01-06-2019 01:00,00:00.0,6.071,0.007,0,0,0,01-06-2019 01:00,1.16,5.005,1013.124,7.685,5.827
01-03-2019 01:00,00:00.0,-8.324,0.002,0,0,0,01-06-2019 01:00,1.16,5.005,1013.124,7.685,5.827
01-03-2019 02:00,00:00.0,-8.261,0.002,0,0,0,01-12-2019 02:00,1.309,5.005,2162.803,7.685,5.827
01-06-2019 02:00,00:00.0,6.173,0.006,0,0,0,01-12-2019 02:00,1.309,5.005,2162.803,7.685,5.827
01-09-2019 02:00,00:00.0,9.97,0.009,0,0,0,01-12-2019 02:00,1.309,5.005,2162.803,7.685,5.827
01-12-2019 02:00,00:00.0,-10.564,0.001,0,0,0,01-12-2019 02:00,1.309,5.005,2162.803,7.685,5.827
01-09-2019 03:00,00:00.0,9.942,0.009,0,0,0,01-06-2019 03:00,1.155,5.005,774.162,7.685,5.332
01-12-2019 03:00,00:00.0,-10.954,0.001,0,0,0,01-06-2019 03:00,1.155,5.005,774.162,7.685,5.332
01-06-2019 03:00,00:00.0,6.232,0.006,2.229,10.77,0,01-06-2019 03:00,1.155,5.005,774.162,7.685,5.332
01-03-2019 03:00,00:00.0,-8.036,0.002,0,0,0,01-06-2019 03:00,1.155,5.005,774.162,7.685,5.332
01-06-2019 04:00,00:00.0,7.108,0.007,49.79,158.093,123.096,01-12-2019 04:00,1.302,5.005,1740.835,7.058,5.332
